traj_cluster_ra,pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07591220724713968
1,-1.9,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07449556131693025
1,-1.8,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07310326092886359
1,-1.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07173496531405148
1,-1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.070390335564098
1,-1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06906903474271384
1,-1.4,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06777072799164893
1,-1.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06649508263104716
1,-1.2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06524176825437959
1,-1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06401045681811231
1,-1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06280082272621479
1,-0.8999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.061612542909677846
1,-0.7999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06044529690116024
1,-0.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05929876690492984
1,-0.5999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.058172637862204904
1,-0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.057066597512059544
1,-0.3999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05598033644801102
1,-0.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.054913548170448426
1,-0.19999999999999996,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.053865929135006506
1,-0.09999999999999987,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05283717879704086
1,0,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05182699965231794
1,0.10000000000000009,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05083509727407128
