traj_cluster_ra,pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.06936506364591513
1,-1.9,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.06995316206526975
1,-1.8,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.0705458685996443
1,-1.7,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.0711432129305889
1,-1.6,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07174522482106085
1,-1.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07235193411358247
1,-1.4,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07296337072835431
1,-1.2999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07357956466132418
1,-1.2,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07420054598221094
1,-1.1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07482634483248282
1,-1,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07545699142328965
1,-0.8999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07609251603334873
1,-0.7999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07673294900678264
1,-0.7,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07737832075091472
1,-0.5999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.0780286617340065
1,-0.5,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07868400248295696
1,-0.3999999999999999,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.07934437358094781
1,-0.2999999999999998,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08000980566504065
1,-0.19999999999999996,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.0806803294237243
1,-0.09999999999999987,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08135597559441185
1,0,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08203677496088746
1,0.10000000000000009,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08272275835070163
1,0.20000000000000018,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08341395663251538
1,0.30000000000000027,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.08411040071339232
1,0.40000000000000036,0,70.23809523809524,Male,White,2021,8.086401570937653,FALSE,0.0848121215360383
