traj_cluster_ra,pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.054378572739178406
1,-1.9,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.05254048973683531
1,-1.8,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.050761201726260426
1,-1.7,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.04903905070625051
1,-1.6,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.04737241046138367
1,-1.5,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.045759687020713494
1,-1.4,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.04419931901827497
1,-1.2999999999999998,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.04268977796201013
1,-1.2,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.04122956841752098
1,-1.1,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.039817228112768305
1,-1,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.03845132796962088
1,-0.8999999999999999,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.03713047206786669
1,-0.7999999999999998,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.035853297547078014
1,-0.7,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.03461847445143228
1,-0.5999999999999999,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.03342470552237115
1,-0.5,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.03227072594369872
1,-0.3999999999999999,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.031155303043505344
1,-0.2999999999999998,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.030077235957033967
1,-0.19999999999999996,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.02903535525440077
1,-0.09999999999999987,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.028028522536826247
1,0,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.027055630004839917
1,0.10000000000000009,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.026115600001682542
1,0.20000000000000018,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.02520738453494714
1,0.30000000000000027,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.024329964779288255
1,0.40000000000000036,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.02348235056284061
1,0.5,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.022663579839818503
1,0.6000000000000001,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.021872718151575092
1,0.7000000000000002,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.021108858078256434
1,0.8000000000000003,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.020371118683007124
1,0.9000000000000004,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.019658644950555214
1,1,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.018970607221842788
1,1.1,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.018306200626253426
1,1.2000000000000002,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.01766464451284271
1,1.3000000000000003,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.01704518188187596
1,1.4000000000000004,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.016447078817847544
1,1.5,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.015869623925066554
1,1.6,0,68.35561497326204,Male,White,2021,7.475935828877005,FALSE,0.015312127766778165
