traj_cluster_ra,pm25_5y_z,no2_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05537943753037778
1,-1.9,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05521583081014709
1,-1.8,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05505267926180946
1,-1.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05488998178529085
1,-1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05472773728219501
1,-1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.0545659446557984
1,-1.4,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05440460281105965
1,-1.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05424371065462027
1,-1.2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.054083267094813904
1,-1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05392327104166116
1,-1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05376372140687882
1,-0.8999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05360461710388029
1,-0.7999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05344595704778477
1,-0.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.053287740155411795
1,-0.5999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05312996534529031
1,-0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05297263153765896
1,-0.3999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05281573765447495
1,-0.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.052659282619408505
1,-0.19999999999999996,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05250326535785176
1,-0.09999999999999987,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05234768479691876
1,0,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.0521925398654542
1,0.10000000000000009,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05203782949402775
1,0.20000000000000018,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05188355261494125
1,0.30000000000000027,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.051729708162235655
1,0.40000000000000036,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.051576295071685437
1,0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05142331228080687
1,0.6000000000000001,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05127075872885801
1,0.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05111863335684676
1,0.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05096693510752522
1,0.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.050815662925397784
1,1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05066481575672083
1,1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.050514392549510734
1,1.2000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05036439225353801
1,1.3000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.050214813820335186
1,1.4000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.05006565620319642
1,1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.04991691835718517
1,1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.04976859923912839
1,1.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.04962069780762405
1,1.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.04947321302304071
1,1.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.049326143847524914
1,2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.0491794892449953
2,-2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.10140775546766163
2,-1.9,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.10350053290381471
2,-1.8,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.10563142253679543
2,-1.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.10780090799568011
2,-1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.11000947023456648
2,-1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.11225758708477335
2,-1.4,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.11454573279197224
2,-1.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.11687437753820352
2,-1.2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.11924398694883895
2,-1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.12165502158450615
2,-1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.12410793641812977
2,-0.8999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.12660318029717582
2,-0.7999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.12914119539130908
2,-0.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.13172241662562673
2,-0.5999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1343472710997872
2,-0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.13701617749328493
2,-0.3999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.13972954545725783
2,-0.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.14248777499316825
2,-0.19999999999999996,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.14529125581887148
2,-0.09999999999999987,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.14814036672251307
2,0,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.15103547490484795
2,0.10000000000000009,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.15397693531052795
2,0.20000000000000018,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.15696508994908626
2,0.30000000000000027,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.16000026720630459
2,0.40000000000000036,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1630827811467052
2,0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.16621293080807276
2,0.6000000000000001,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1693909994888417
2,0.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.17261725402935124
2,0.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.17589194408792042
2,0.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1792153014129015
2,1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.18258753911178713
2,1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1860088509186199
2,1.2000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1894794104608996
2,1.3000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.1929993705273911
2,1.4000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.19656886233814685
2,1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.20018799481823119
2,1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.20385685387656968
2,1.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2075755016915575
2,1.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.21134397600495575
2,1.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.21516228942577614
2,2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2190304287457733
3,-2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.20549889566465412
3,-1.9,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.21395243242211034
3,-1.8,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2226562635608252
3,-1.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.23160984592467682
3,-1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2408119367113191
3,-1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2502605591112489
3,-1.4,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2599529708506156
3,-1.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.26988563617896294
3,-1.2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.2800542018437657
3,-1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.29045347758453555
3,-1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.301077421660264
3,-0.8999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.3119191318936826
3,-0.7999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.32297084267461734
3,-0.7,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.3342239283118084
3,-0.5999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.34566891305885133
3,-0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.35729548806509864
3,-0.3999999999999999,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.3690925354181458
3,-0.2999999999999998,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.38104815935138225
3,-0.19999999999999996,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.39314972459035924
3,-0.09999999999999987,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.4053839017064046
3,0,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.4177367192380467
3,0.10000000000000009,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.43019362223198865
3,0.20000000000000018,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.4427395367489231
3,0.30000000000000027,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.45535893977717445
3,0.40000000000000036,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.46803593390218273
3,0.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.4807543259947402
3,0.6000000000000001,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.49349770910730995
3,0.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5062495467085928
3,0.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5189932583426172
3,0.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5317123057720767
3,1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5443902786562405
3,1.1,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5570109788227527
3,1.2000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5695585022188917
3,1.3000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5820173176714947
3,1.4000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.5943723416435552
3,1.5,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6066090082487761
3,1.6,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6187133338702571
3,1.7000000000000002,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6306719758245386
3,1.8000000000000003,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6424722846139758
3,1.9000000000000004,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6541023494172329
3,2,0,66.5083179297597,Male,White,2021,7.735674676524954,FALSE,0.6655510365761168
